accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,mcc_mean,mcc_std,macro_f1_mean,macro_f1_std,task,target_model,feature_set,estimator,n_features,n_rows
0.735,0.03297726489568229,0.7267329559800396,0.047485397287856605,0.765,0.07348469228349534,0.7418019018249012,0.03348996641668588,0.852,0.014829236325583335,0.47573703497491815,0.06653576368578493,0.7333972546134684,0.0332502213051578,binary,llama-3.1-8b-instruct,syntactic,logreg,68,400
0.8049999999999999,0.012747548783981948,0.8200195374046764,0.03173864692720339,0.7849999999999999,0.03391164991562632,0.8009464759623288,0.011909149537499466,0.89375,0.02369978243571024,0.6122278808956944,0.025651871675249245,0.8046460693691856,0.012768510833907492,binary,llama-3.1-8b-instruct,syntactic,random_forest,68,400
0.7550000000000001,0.02806243040080458,0.7443625151623511,0.04980722888417709,0.79,0.07000000000000002,0.762856144582448,0.02447570556239416,0.8608749999999998,0.009606313028420476,0.5175296875557959,0.05749261950018377,0.7532520693515397,0.028403715267840527,binary,llama-3.1-8b-instruct,combined,logreg,73,400
0.8275,0.014577379737113249,0.8384611540837472,0.03495206958286425,0.8150000000000001,0.037416573867739396,0.8252326932326934,0.014250757433542528,0.9065625,0.011755982519551494,0.6572895885381758,0.029694653611149056,0.827207399067467,0.014538064498573986,binary,llama-3.1-8b-instruct,combined,random_forest,73,400
0.655,0.02318404623873927,0.6426676169359096,0.0318884216558768,0.7100000000000001,0.06041522986797283,0.6723815749853406,0.021731603809072877,0.6990000000000001,0.038654317352658056,0.3147179227365472,0.04368483408703478,0.6521261895323363,0.02570394489822623,binary,llama-3.1-8b-instruct,writeprints,logreg,14,400
0.6675000000000001,0.0422788363132194,0.6775136915030531,0.027759910358293165,0.635,0.10198039027185567,0.6526604180252094,0.06044368660381339,0.7671874999999999,0.04153405981841892,0.3385960568934393,0.08605203822889082,0.6658205004104133,0.0423408178488367,binary,llama-3.1-8b-instruct,writeprints,random_forest,14,400
0.615,0.03984344362627308,0.6120856102003642,0.049684463136359595,0.675,0.1234908903522847,0.6323651705199215,0.05100373267094886,0.6851875,0.02544571427568895,0.23857657262554932,0.07650583137552901,0.6057732232308493,0.04800837192188935,binary,llama-3.1-8b-instruct,stylometrix,logreg,3,400
0.585,0.05024937810560445,0.5835170215144541,0.05080003530489386,0.6,0.06123724356957947,0.5906720730250141,0.05099114798924451,0.6248750000000001,0.05534712899058084,0.17055520753152936,0.10048751346538827,0.5841346269843047,0.050575143667654324,binary,llama-3.1-8b-instruct,stylometrix,random_forest,3,400
0.6024999999999999,0.012247448713915888,0.6039334521687463,0.009382535622364184,0.6,0.08803408430829504,0.5984458443405811,0.03972469057561639,0.63425,0.0191922836056578,0.20777722631163095,0.02701738636366228,0.6001324463226688,0.01066922691333114,binary,llama-3.1-8b-instruct,stanza,logreg,4,400
0.5275000000000001,0.020000000000000025,0.5259234649932324,0.017467140316160343,0.5349999999999999,0.1168332144554792,0.524943936976374,0.06113676104370173,0.5365624999999999,0.05479578564999318,0.05671754517574075,0.041549672869386454,0.5223894670103366,0.018430223969455786,binary,llama-3.1-8b-instruct,stanza,random_forest,4,400
0.62,0.042278836313219416,0.6243431482335375,0.04706456886134953,0.615,0.048989794855663564,0.6180326463521575,0.03812136528008351,0.65575,0.04226479031061196,0.2409575612313776,0.08394604473589572,0.6188211649645413,0.04335655608474115,binary,mistral-7b-instruct-v0.3,lexical,logreg,5,400
